Time	Position	Symbol	Type	Volume	Price	S / L	T / P	Time	Price	Commission	Swap	Profit
2024.12.20 16:30:09	610091041	XAUUSD.s	sell	0.01	2615.31			2024.12.20 16:36:33	2614.92	0.00	0.00	0.39
2024.12.20 16:30:09	610091061	XAUUSD.s	sell	0.01	2615.30			2024.12.20 16:36:33	2614.92	0.00	0.00	0.38
2024.12.20 16:30:10	610091127	XAUUSD.s	sell	0.01	2615.33			2024.12.20 16:36:33	2614.92	0.00	0.00	0.41
2024.12.20 16:30:10	610091147	XAUUSD.s	sell	0.01	2615.41			2024.12.20 16:36:33	2614.92	0.00	0.00	0.49
2024.12.20 16:30:19	610091626	XAUUSD.s	sell	0.01	2615.58			2024.12.20 16:36:33	2614.92	0.00	0.00	0.66
2024.12.20 16:30:19	610091664	XAUUSD.s	sell	0.01	2615.65			2024.12.20 16:36:33	2614.92	0.00	0.00	0.73
2024.12.20 16:30:24	610091887	XAUUSD.s	sell	0.01	2615.84			2024.12.20 16:36:33	2614.92	0.00	0.00	0.92
2024.12.20 16:30:24	610091928	XAUUSD.s	sell	0.01	2615.85			2024.12.20 16:36:33	2614.92	0.00	0.00	0.93
2024.12.20 16:30:24	610091915	XAUUSD.s	sell	0.01	2615.85			2024.12.20 16:36:33	2614.92	0.00	0.00	0.93
2024.12.20 16:30:40	610092680	XAUUSD.s	sell	0.01	2616.22			2024.12.20 16:36:34	2614.92	0.00	0.00	1.30
2024.12.20 16:30:40	610092702	XAUUSD.s	sell	0.01	2616.21			2024.12.20 16:36:33	2614.92	0.00	0.00	1.29
2024.12.20 16:30:40	610092710	XAUUSD.s	sell	0.01	2616.21			2024.12.20 16:36:33	2614.92	0.00	0.00	1.29
2024.12.20 16:30:40	610092721	XAUUSD.s	sell	0.01	2616.21			2024.12.20 16:36:33	2614.92	0.00	0.00	1.29
2024.12.20 16:31:02	610093851	XAUUSD.s	sell	0.02	2616.38			2024.12.20 16:36:33	2614.92	0.00	0.00	2.92
2024.12.20 16:31:02	610093850	XAUUSD.s	sell	0.02	2616.38			2024.12.20 16:36:33	2614.92	0.00	0.00	2.92
2024.12.20 16:31:02	610093856	XAUUSD.s	sell	0.02	2616.42			2024.12.20 16:36:34	2614.92	0.00	0.00	3.00
2024.12.20 16:31:52	610097578	XAUUSD.s	sell	0.02	2617.05			2024.12.20 16:36:34	2614.92	0.00	0.00	4.26
2024.12.20 16:31:52	610097574	XAUUSD.s	sell	0.02	2617.05			2024.12.20 16:36:34	2614.92	0.00	0.00	4.26
2024.12.20 16:31:52	610097587	XAUUSD.s	sell	0.02	2617.05			2024.12.20 16:36:33	2614.92	0.00	0.00	4.26
2024.12.20 16:31:52	610097590	XAUUSD.s	sell	0.02	2617.05			2024.12.20 16:36:34	2614.92	0.00	0.00	4.26
2024.12.20 16:34:01	610106859	XAUUSD.s	sell	0.02	2617.42			2024.12.20 16:36:34	2614.92	0.00	0.00	5.00
2024.12.20 16:34:01	610106927	XAUUSD.s	sell	0.02	2617.38			2024.12.20 16:36:33	2614.92	0.00	0.00	4.92
2024.12.20 16:35:00	610112573	XAUUSD.s	sell	0.02	2617.48			2024.12.20 16:36:33	2614.92	0.00	0.00	5.12
2024.12.20 16:35:01	610112581	XAUUSD.s	sell	0.02	2617.48			2024.12.20 16:36:33	2614.92	0.00	0.00	5.12
2024.12.20 16:35:01	610112599	XAUUSD.s	sell	0.02	2617.19			2024.12.20 16:36:34	2614.92	0.00	0.00	4.54
2024.12.20 16:35:02	610112615	XAUUSD.s	sell	0.02	2617.13			2024.12.20 16:36:33	2614.92	0.00	0.00	4.42
2024.12.20 16:35:02	610112624	XAUUSD.s	sell	0.02	2617.14			2024.12.20 16:36:34	2614.92	0.00	0.00	4.44
2024.12.20 16:35:21	610113886	XAUUSD.s	sell	0.02	2617.05			2024.12.20 16:36:34	2614.92	0.00	0.00	4.26
2024.12.20 16:35:22	610113903	XAUUSD.s	sell	0.02	2616.87			2024.12.20 16:36:33	2614.92	0.00	0.00	3.90
2024.12.20 16:35:22	610113912	XAUUSD.s	sell	0.02	2616.88			2024.12.20 16:36:34	2614.92	0.00	0.00	3.92
2024.12.20 16:35:22	610113918	XAUUSD.s	sell	0.02	2616.87			2024.12.20 16:36:34	2614.92	0.00	0.00	3.90
2024.12.20 16:35:22	610113927	XAUUSD.s	sell	0.02	2616.82			2024.12.20 16:36:34	2614.92	0.00	0.00	3.80
2024.12.20 16:35:44	610114952	XAUUSD.s	sell	0.02	2616.21			2024.12.20 16:36:34	2614.92	0.00	0.00	2.58
2024.12.20 16:35:45	610114957	XAUUSD.s	sell	0.02	2616.07			2024.12.20 16:36:34	2614.92	0.00	0.00	2.30
2024.12.20 16:35:45	610114962	XAUUSD.s	sell	0.02	2616.01			2024.12.20 16:36:34	2614.92	0.00	0.00	2.18
2024.12.20 16:35:45	610114972	XAUUSD.s	sell	0.02	2616.00			2024.12.20 16:36:34	2614.92	0.00	0.00	2.16
2024.12.20 16:35:50	610115319	XAUUSD.s	sell	0.02	2615.94			2024.12.20 16:36:33	2614.92	0.00	0.00	2.04
2024.12.20 16:35:50	610115337	XAUUSD.s	sell	0.02	2615.92			2024.12.20 16:36:33	2614.92	0.00	0.00	2.00
2024.12.20 16:35:50	610115371	XAUUSD.s	sell	0.02	2616.03			2024.12.20 16:36:34	2614.92	0.00	0.00	2.22
2024.12.20 16:48:01	610161032	XAUUSD.s	buy	0.03	2614.40			2024.12.20 16:50:48	2616.57	0.00	0.00	6.51
2024.12.20 16:48:01	610161039	XAUUSD.s	buy	0.03	2614.40			2024.12.20 16:50:48	2616.57	0.00	0.00	6.51
2024.12.20 16:48:01	610161042	XAUUSD.s	buy	0.03	2614.40			2024.12.20 16:50:48	2616.57	0.00	0.00	6.51
2024.12.20 16:48:01	610161048	XAUUSD.s	buy	0.03	2614.39			2024.12.20 16:50:49	2616.57	0.00	0.00	6.54
2024.12.20 16:48:01	610161055	XAUUSD.s	buy	0.03	2614.38			2024.12.20 16:50:49	2616.57	0.00	0.00	6.57
2024.12.20 16:48:02	610161069	XAUUSD.s	buy	0.03	2614.50			2024.12.20 16:50:49	2616.57	0.00	0.00	6.21
2024.12.20 16:48:02	610161130	XAUUSD.s	buy	0.03	2614.45			2024.12.20 16:50:49	2616.57	0.00	0.00	6.36
2024.12.20 16:49:01	610164149	XAUUSD.s	buy	0.03	2613.74			2024.12.20 16:50:48	2616.57	0.00	0.00	8.49
2024.12.20 16:49:58	610166510	XAUUSD.s	buy	0.03	2615.13			2024.12.20 16:50:49	2616.57	0.00	0.00	4.32
2024.12.20 16:49:59	610166524	XAUUSD.s	buy	0.03	2615.16			2024.12.20 16:50:49	2616.57	0.00	0.00	4.23
2024.12.20 16:49:59	610166533	XAUUSD.s	buy	0.03	2615.17			2024.12.20 16:50:49	2616.57	0.00	0.00	4.20
2024.12.20 16:49:59	610166553	XAUUSD.s	buy	0.03	2615.22			2024.12.20 16:50:48	2616.57	0.00	0.00	4.05
2024.12.20 16:50:00	610166583	XAUUSD.s	buy	0.03	2615.21			2024.12.20 16:50:48	2616.57	0.00	0.00	4.08
2024.12.20 16:50:00	610166625	XAUUSD.s	buy	0.03	2615.10			2024.12.20 16:50:49	2616.57	0.00	0.00	4.41
2024.12.20 16:51:31	610173094	BTCUSD.s	buy	0.04	95151.04			2024.12.20 16:53:51	95502.32	0.00	0.00	14.05
2024.12.20 16:51:31	610173097	BTCUSD.s	buy	0.04	95164.57			2024.12.20 16:53:51	95502.32	0.00	0.00	13.51
2024.12.20 16:51:31	610173106	BTCUSD.s	buy	0.04	95164.57			2024.12.20 16:53:51	95502.32	0.00	0.00	13.51
2024.12.20 16:51:31	610173115	BTCUSD.s	buy	0.04	95154.88			2024.12.20 16:53:51	95502.32	0.00	0.00	13.90
2024.12.20 16:51:32	610173136	BTCUSD.s	buy	0.04	95199.39			2024.12.20 16:53:51	95502.32	0.00	0.00	12.12
2024.12.20 16:51:32	610173172	BTCUSD.s	buy	0.04	95213.26			2024.12.20 16:53:51	95502.32	0.00	0.00	11.56
2024.12.20 16:52:02	610174806	BTCUSD.s	buy	0.04	95307.14			2024.12.20 16:53:51	95502.32	0.00	0.00	7.81
2024.12.20 16:52:02	610174807	BTCUSD.s	buy	0.04	95307.14			2024.12.20 16:53:51	95502.32	0.00	0.00	7.81
2024.12.20 16:52:02	610174821	BTCUSD.s	buy	0.04	95310.12			2024.12.20 16:53:51	95502.32	0.00	0.00	7.69
2024.12.20 16:52:02	610174826	BTCUSD.s	buy	0.04	95306.16			2024.12.20 16:53:52	95502.44	0.00	0.00	7.85
2024.12.20 16:52:03	610174839	BTCUSD.s	buy	0.04	95292.79			2024.12.20 16:53:52	95504.41	0.00	0.00	8.46
2024.12.20 16:52:03	610174855	BTCUSD.s	buy	0.04	95290.98			2024.12.20 16:53:52	95504.41	0.00	0.00	8.54
2024.12.20 16:53:03	610177319	BTCUSD.s	buy	0.04	95427.52			2024.12.20 16:53:52	95504.41	0.00	0.00	3.08
2024.12.20 16:53:03	610177325	BTCUSD.s	buy	0.04	95419.90			2024.12.20 16:53:52	95504.41	0.00	0.00	3.38
2024.12.20 16:53:04	610177353	BTCUSD.s	buy	0.04	95417.31			2024.12.20 16:53:52	95504.41	0.00	0.00	3.48
2024.12.20 16:53:05	610177391	BTCUSD.s	buy	0.04	95423.86			2024.12.20 16:53:52	95504.41	0.00	0.00	3.22
2024.12.20 16:53:07	610177452	BTCUSD.s	buy	0.04	95434.06			2024.12.20 16:53:52	95504.41	0.00	0.00	2.81
2024.12.20 16:53:07	610177474	BTCUSD.s	buy	0.04	95439.44			2024.12.20 16:53:52	95504.41	0.00	0.00	2.60
2024.12.20 17:23:01	610289980	BTCUSD.s	buy	0.06	96430.97			2024.12.20 17:26:19	96918.46	0.00	0.00	29.25
2024.12.20 17:23:01	610289996	BTCUSD.s	buy	0.06	96446.77			2024.12.20 17:26:20	96918.46	0.00	0.00	28.30
2024.12.20 17:23:01	610290004	BTCUSD.s	buy	0.06	96446.77			2024.12.20 17:26:19	96918.46	0.00	0.00	28.30
2024.12.20 17:23:02	610290015	BTCUSD.s	buy	0.06	96460.22			2024.12.20 17:26:19	96918.46	0.00	0.00	27.49
2024.12.20 17:23:02	610290059	BTCUSD.s	buy	0.06	96473.07			2024.12.20 17:26:19	96918.46	0.00	0.00	26.72
2024.12.20 17:23:06	610290305	BTCUSD.s	buy	0.06	96429.51			2024.12.20 17:26:19	96918.46	0.00	0.00	29.34
2024.12.20 17:24:01	610292567	BTCUSD.s	buy	0.03	96718.78			2024.12.20 17:26:19	96918.46	0.00	0.00	5.99
